Employee Name,Manager Name,Email,Date of Hire,Store,Shift Start,Shift End,Station,Hourly Pay Rate
"Chen, Kathleen","Ellis, Grant",kathleen.chen@abcfoodmart.com,2/3/2024,ABC Foodmart - Tribeca,2/9/2024 0:00,2/9/2024 0:00,dairy,13.92
"Foster, Kenneth","Farrell, Christopher",kenneth.foster@abcfoodmart.com,4/23/2023,ABC Foodmart - Staten Island,5/20/2023 0:00,5/20/2023 0:00,bakery,18.49
"Manning, Maria","Hoffman, Tina",maria.manning@abcfoodmart.com,11/16/2022,ABC Foodmart - DUMBO,11/23/2022 0:00,11/23/2022 0:00,pharmacy,19.71
"Martin, Monica","Hoffman, Tina",monica.martin@abcfoodmart.com,11/23/2023,ABC Foodmart - DUMBO,11/25/2023 0:00,11/25/2023 0:00,meats,16.05
"Walters, Jay","Ellis, Grant",jay.walters@abcfoodmart.com,12/17/2023,ABC Foodmart - Tribeca,2/5/2024 0:00,2/5/2024 0:00,floral,14.4
"Walters, Jay","Ellis, Grant",jay.walters@abcfoodmart.com,12/17/2023,ABC Foodmart - Tribeca,2/11/2024 0:00,2/11/2024 0:00,dry goods,12.56
"Hernandez, Michael","Flores, Angela",michael.hernandez@abcfoodmart.com,5/24/2022,ABC Foodmart - Whitestone,6/6/2022 0:00,6/6/2022 0:00,floral,17.9
"Glover, Michelle","Cooper, Robert",michelle.glover@abcfoodmart.com,8/25/2022,ABC Foodmart - Bay Ridge,9/16/2022 0:00,9/16/2022 0:00,dry goods,15.88
"Colon, Lindsey","Cooper, Robert",lindsey.colon@abcfoodmart.com,2/16/2023,ABC Foodmart - Bay Ridge,2/21/2023 0:00,2/21/2023 0:00,cashier,18.15
"Randolph, Emily","Cooper, Robert",emily.randolph@abcfoodmart.com,3/9/2023,ABC Foodmart - Bay Ridge,3/31/2023 0:00,3/31/2023 0:00,deli,14.18
"Jones, Christopher","Flores, Angela",christopher.jones@abcfoodmart.com,5/19/2022,ABC Foodmart - Whitestone,6/6/2022 0:00,6/6/2022 0:00,floral,18.05
"Walters, Jay","Farrell, Christopher",jay.walters@abcfoodmart.com,12/17/2023,ABC Foodmart - Staten Island,3/5/2024 0:00,3/5/2024 0:00,dairy,18.91
"Harrell, Angie","Farrell, Christopher",angie.harrell@abcfoodmart.com,6/1/2023,ABC Foodmart - Staten Island,6/27/2023 0:00,6/27/2023 0:00,frozen foods,13.21
"Chambers, Jeffrey","Ellis, Grant",jeffrey.chambers@abcfoodmart.com,9/29/2022,ABC Foodmart - Tribeca,10/4/2022 0:00,10/4/2022 0:00,pharmacy,15.11
"Nichols, Mitchell","Farrell, Christopher",mitchell.nichols@abcfoodmart.com,9/30/2022,ABC Foodmart - Staten Island,10/4/2022 0:00,10/4/2022 0:00,floral,14.45
"Campbell, Brittany","Hoffman, Tina",brittany.campbell@abcfoodmart.com,3/25/2023,ABC Foodmart - DUMBO,5/30/2023 0:00,5/30/2023 0:00,bakery,12.79
"Jacobs, Brenda","Ellis, Grant",brenda.jacobs@abcfoodmart.com,2/9/2024,ABC Foodmart - Tribeca,2/29/2024 0:00,2/29/2024 0:00,floral,17.49
"Mckenzie, William","Flores, Angela",william.mckenzie@abcfoodmart.com,1/4/2023,ABC Foodmart - Whitestone,1/28/2023 0:00,1/28/2023 0:00,pharmacy,16.84
"Jones, Evelyn","Ellis, Grant",evelyn.jones@abcfoodmart.com,2/25/2024,ABC Foodmart - Tribeca,2/28/2024 0:00,2/28/2024 0:00,frozen foods,17.47
"Martin, Monica","Farrell, Christopher",monica.martin@abcfoodmart.com,11/23/2023,ABC Foodmart - Staten Island,11/26/2023 0:00,11/26/2023 0:00,meats,18.3
"Riley, Ashley","Cooper, Robert",ashley.riley@abcfoodmart.com,8/17/2022,ABC Foodmart - Bay Ridge,9/18/2022 0:00,9/18/2022 0:00,dry goods,15.28
"Love, Thomas","Hoffman, Tina",thomas.love@abcfoodmart.com,2/18/2024,ABC Foodmart - DUMBO,2/21/2024 0:00,2/21/2024 0:00,cashier,17.86
"Smith, Diana","Flores, Angela",diana.smith@abcfoodmart.com,5/31/2023,ABC Foodmart - Whitestone,6/28/2023 0:00,6/28/2023 0:00,deli,14.7
"Durham, Denise","Hoffman, Tina",denise.durham@abcfoodmart.com,10/24/2022,ABC Foodmart - DUMBO,11/7/2022 0:00,11/7/2022 0:00,customer service,13.96
"Galvan, Lori","Ellis, Grant",lori.galvan@abcfoodmart.com,5/24/2022,ABC Foodmart - Tribeca,6/2/2022 0:00,6/2/2022 0:00,meats,15.65
"Mckinney, Marcus","Hoffman, Tina",marcus.mckinney@abcfoodmart.com,8/14/2022,ABC Foodmart - DUMBO,9/12/2022 0:00,9/12/2022 0:00,seafood,18.85
"Church, Joshua","Hoffman, Tina",joshua.church@abcfoodmart.com,3/3/2024,ABC Foodmart - DUMBO,3/20/2024 0:00,3/20/2024 0:00,cashier,16.73
"Mckenzie, William","Hoffman, Tina",william.mckenzie@abcfoodmart.com,1/4/2023,ABC Foodmart - DUMBO,1/29/2023 0:00,1/29/2023 0:00,meats,18.36
"Riley, Ashley","Hoffman, Tina",ashley.riley@abcfoodmart.com,8/17/2022,ABC Foodmart - DUMBO,10/3/2022 0:00,10/3/2022 0:00,seafood,13.61
"Woods, Marcus","Cooper, Robert",marcus.woods@abcfoodmart.com,4/1/2024,ABC Foodmart - Bay Ridge,4/4/2024 0:00,4/4/2024 0:00,meats,13.91
"Kramer, Veronica","Flores, Angela",veronica.kramer@abcfoodmart.com,3/28/2023,ABC Foodmart - Whitestone,3/31/2023 0:00,3/31/2023 0:00,seafood,18.88
"Burns, Kendra","Ellis, Grant",kendra.burns@abcfoodmart.com,12/13/2022,ABC Foodmart - Tribeca,1/3/2023 0:00,1/3/2023 0:00,meats,19.47
"Terri, Mrs.","Flores, Angela",mrs..terri@abcfoodmart.com,9/23/2022,ABC Foodmart - Whitestone,10/4/2022 0:00,10/4/2022 0:00,fresh produce,13.87
"Eric, Mr.","Ellis, Grant",mr..eric@abcfoodmart.com,9/2/2022,ABC Foodmart - Tribeca,9/22/2022 0:00,9/22/2022 0:00,deli,14.33
"Spears, Erin","Flores, Angela",erin.spears@abcfoodmart.com,7/30/2023,ABC Foodmart - Whitestone,8/18/2023 0:00,8/18/2023 0:00,deli,15.53
"Pena, Johnathan","Cooper, Robert",johnathan.pena@abcfoodmart.com,2/22/2023,ABC Foodmart - Bay Ridge,2/28/2023 0:00,2/28/2023 0:00,pharmacy,15.08
"Chambers, Jeffrey","Flores, Angela",jeffrey.chambers@abcfoodmart.com,9/29/2022,ABC Foodmart - Whitestone,10/13/2022 0:00,10/13/2022 0:00,dry goods,18.92
"Davis, Jennifer","Hoffman, Tina",jennifer.davis@abcfoodmart.com,11/3/2023,ABC Foodmart - DUMBO,11/26/2023 0:00,11/26/2023 0:00,bakery,19.44
"Walters, Jay","Flores, Angela",jay.walters@abcfoodmart.com,12/17/2023,ABC Foodmart - Whitestone,4/3/2024 0:00,4/3/2024 0:00,seafood,12.48
"Kramer, Veronica","Ellis, Grant",veronica.kramer@abcfoodmart.com,3/28/2023,ABC Foodmart - Tribeca,4/5/2023 0:00,4/5/2023 0:00,meats,16.8
"Warren, Timothy","Ellis, Grant",timothy.warren@abcfoodmart.com,12/27/2022,ABC Foodmart - Tribeca,1/14/2023 0:00,1/14/2023 0:00,cashier,19.21
"Gonzalez, Michele","Farrell, Christopher",michele.gonzalez@abcfoodmart.com,9/23/2023,ABC Foodmart - Staten Island,9/27/2023 0:00,9/27/2023 0:00,dry goods,14.19
"Perry, Andrea","Cooper, Robert",andrea.perry@abcfoodmart.com,5/5/2023,ABC Foodmart - Bay Ridge,5/24/2023 0:00,5/24/2023 0:00,dry goods,19.39
"Marquez, Jeffrey","Ellis, Grant",jeffrey.marquez@abcfoodmart.com,2/19/2023,ABC Foodmart - Tribeca,3/3/2023 0:00,3/3/2023 0:00,floral,14
"Nguyen, Richard","Ellis, Grant",richard.nguyen@abcfoodmart.com,9/27/2022,ABC Foodmart - Tribeca,10/5/2022 0:00,10/5/2022 0:00,pharmacy,16.59
"Torres, Steven","Flores, Angela",steven.torres@abcfoodmart.com,5/10/2023,ABC Foodmart - Whitestone,5/28/2023 0:00,5/28/2023 0:00,seafood,13.55
"Hernandez, Michael","Hoffman, Tina",michael.hernandez@abcfoodmart.com,5/24/2022,ABC Foodmart - DUMBO,6/29/2022 0:00,6/29/2022 0:00,cashier,13.97
"Terri, Mrs.","Ellis, Grant",mrs..terri@abcfoodmart.com,9/23/2022,ABC Foodmart - Tribeca,10/28/2022 0:00,10/28/2022 0:00,pharmacy,18.47
"Walls, Kristen","Ellis, Grant",kristen.walls@abcfoodmart.com,2/10/2023,ABC Foodmart - Tribeca,2/21/2023 0:00,2/21/2023 0:00,bakery,19.84
"Jones, Evelyn","Flores, Angela",evelyn.jones@abcfoodmart.com,2/25/2024,ABC Foodmart - Whitestone,3/2/2024 0:00,3/2/2024 0:00,seafood,15
"Brown, Lisa","Hoffman, Tina",lisa.brown@abcfoodmart.com,8/18/2022,ABC Foodmart - DUMBO,8/27/2022 0:00,8/27/2022 0:00,floral,16.87
"Hull, Shane","Hoffman, Tina",shane.hull@abcfoodmart.com,1/9/2024,ABC Foodmart - DUMBO,1/28/2024 0:00,1/28/2024 0:00,deli,13.56
"Nichols, Brandon","Farrell, Christopher",brandon.nichols@abcfoodmart.com,2/28/2024,ABC Foodmart - Staten Island,3/21/2024 0:00,3/21/2024 0:00,cashier,15.24
"White, Kenneth","Flores, Angela",kenneth.white@abcfoodmart.com,1/22/2023,ABC Foodmart - Whitestone,2/20/2023 0:00,2/20/2023 0:00,meats,15.37
"Hull, Shane","Cooper, Robert",shane.hull@abcfoodmart.com,1/9/2024,ABC Foodmart - Bay Ridge,2/5/2024 0:00,2/5/2024 0:00,pharmacy,14.57
"Bryan, Mr.","Farrell, Christopher",mr..bryan@abcfoodmart.com,8/26/2023,ABC Foodmart - Staten Island,8/28/2023 0:00,8/28/2023 0:00,cashier,18.78
"Moon, James","Farrell, Christopher",james.moon@abcfoodmart.com,10/20/2023,ABC Foodmart - Staten Island,11/2/2023 0:00,11/2/2023 0:00,cashier,16.63
"Thompson, Andrea","Cooper, Robert",andrea.thompson@abcfoodmart.com,1/6/2023,ABC Foodmart - Bay Ridge,1/18/2023 0:00,1/18/2023 0:00,seafood,19.4
"Bennett, Alec","Farrell, Christopher",alec.bennett@abcfoodmart.com,10/3/2023,ABC Foodmart - Staten Island,10/29/2023 0:00,10/29/2023 0:00,dairy,12.85
"Herrera, Spencer","Ellis, Grant",spencer.herrera@abcfoodmart.com,1/16/2023,ABC Foodmart - Tribeca,2/2/2023 0:00,2/2/2023 0:00,fresh produce,17.54
"Ellis, Lauren","Flores, Angela",lauren.ellis@abcfoodmart.com,10/22/2022,ABC Foodmart - Whitestone,12/4/2022 0:00,12/4/2022 0:00,dry goods,18.03
"Galvan, Lori","Hoffman, Tina",lori.galvan@abcfoodmart.com,5/24/2022,ABC Foodmart - DUMBO,6/28/2022 0:00,6/28/2022 0:00,deli,13.54
"Walters, Jay","Ellis, Grant",jay.walters@abcfoodmart.com,12/17/2023,ABC Foodmart - Tribeca,5/2/2024 0:00,5/2/2024 0:00,deli,17.4
"Foster, Kenneth","Farrell, Christopher",kenneth.foster@abcfoodmart.com,4/23/2023,ABC Foodmart - Staten Island,6/6/2023 0:00,6/6/2023 0:00,fresh produce,19.97
"Carroll, Eric","Ellis, Grant",eric.carroll@abcfoodmart.com,12/26/2022,ABC Foodmart - Tribeca,1/5/2023 0:00,1/5/2023 0:00,meats,18.09
"Rogers, Mark","Flores, Angela",mark.rogers@abcfoodmart.com,5/8/2023,ABC Foodmart - Whitestone,5/21/2023 0:00,5/21/2023 0:00,pharmacy,14.95
"Church, Joshua","Cooper, Robert",joshua.church@abcfoodmart.com,3/3/2024,ABC Foodmart - Bay Ridge,4/16/2024 0:00,4/16/2024 0:00,bakery,18.72
"Burns, Kendra","Farrell, Christopher",kendra.burns@abcfoodmart.com,12/13/2022,ABC Foodmart - Staten Island,1/21/2023 0:00,1/21/2023 0:00,bakery,16.31
"Jones, Christopher","Ellis, Grant",christopher.jones@abcfoodmart.com,5/19/2022,ABC Foodmart - Tribeca,6/24/2022 0:00,6/24/2022 0:00,dry goods,19.97
"Brooks, Renee","Ellis, Grant",renee.brooks@abcfoodmart.com,7/15/2023,ABC Foodmart - Tribeca,7/25/2023 0:00,7/25/2023 0:00,bakery,14.43
"Mckinney, Marcus","Farrell, Christopher",marcus.mckinney@abcfoodmart.com,8/14/2022,ABC Foodmart - Staten Island,10/11/2022 0:00,10/11/2022 0:00,fresh produce,14.19
"Wells, Monica","Cooper, Robert",monica.wells@abcfoodmart.com,3/12/2024,ABC Foodmart - Bay Ridge,4/16/2024 0:00,4/16/2024 0:00,frozen foods,13.62
"Roach, Christine","Farrell, Christopher",christine.roach@abcfoodmart.com,10/15/2023,ABC Foodmart - Staten Island,10/30/2023 0:00,10/30/2023 0:00,fresh produce,18.04
"Woods, Marcus","Cooper, Robert",marcus.woods@abcfoodmart.com,4/1/2024,ABC Foodmart - Bay Ridge,5/1/2024 0:00,5/1/2024 0:00,pharmacy,16.09
"Manning, Maria","Farrell, Christopher",maria.manning@abcfoodmart.com,11/16/2022,ABC Foodmart - Staten Island,12/1/2022 0:00,12/1/2022 0:00,frozen foods,19.8
"Wilson, Jill","Hoffman, Tina",jill.wilson@abcfoodmart.com,12/6/2022,ABC Foodmart - DUMBO,12/25/2022 0:00,12/25/2022 0:00,bakery,12.25
"Johnson, Samantha","Ellis, Grant",samantha.johnson@abcfoodmart.com,1/16/2023,ABC Foodmart - Tribeca,1/21/2023 0:00,1/21/2023 0:00,customer service,15.86
"Burns, Kendra","Cooper, Robert",kendra.burns@abcfoodmart.com,12/13/2022,ABC Foodmart - Bay Ridge,1/31/2023 0:00,1/31/2023 0:00,dairy,19.66
"Day, Natasha","Flores, Angela",natasha.day@abcfoodmart.com,8/2/2023,ABC Foodmart - Whitestone,8/16/2023 0:00,8/16/2023 0:00,frozen foods,17.27
"Sosa, David","Farrell, Christopher",david.sosa@abcfoodmart.com,7/27/2023,ABC Foodmart - Staten Island,8/21/2023 0:00,8/21/2023 0:00,dry goods,16
"Wilson, Jill","Flores, Angela",jill.wilson@abcfoodmart.com,12/6/2022,ABC Foodmart - Whitestone,1/18/2023 0:00,1/18/2023 0:00,deli,13.33
"Roach, Christine","Ellis, Grant",christine.roach@abcfoodmart.com,10/15/2023,ABC Foodmart - Tribeca,11/20/2023 0:00,11/20/2023 0:00,dairy,15.27
"Davis, Jennifer","Cooper, Robert",jennifer.davis@abcfoodmart.com,11/3/2023,ABC Foodmart - Bay Ridge,12/12/2023 0:00,12/12/2023 0:00,frozen foods,16.52
"Waters, Julie","Hoffman, Tina",julie.waters@abcfoodmart.com,5/20/2023,ABC Foodmart - DUMBO,5/21/2023 0:00,5/21/2023 0:00,dairy,15.4
"Garcia, Sarah","Ellis, Grant",sarah.garcia@abcfoodmart.com,12/14/2022,ABC Foodmart - Tribeca,1/17/2023 0:00,1/17/2023 0:00,dairy,14.52
"Nichols, Mitchell","Hoffman, Tina",mitchell.nichols@abcfoodmart.com,9/30/2022,ABC Foodmart - DUMBO,10/23/2022 0:00,10/23/2022 0:00,dairy,14.53
"Davis, Jennifer","Ellis, Grant",jennifer.davis@abcfoodmart.com,11/3/2023,ABC Foodmart - Tribeca,1/3/2024 0:00,1/3/2024 0:00,deli,14.13
"Garcia, Sarah","Hoffman, Tina",sarah.garcia@abcfoodmart.com,12/14/2022,ABC Foodmart - DUMBO,1/30/2023 0:00,1/30/2023 0:00,fresh produce,18.67
"Meyer, James","Flores, Angela",james.meyer@abcfoodmart.com,5/2/2022,ABC Foodmart - Whitestone,5/29/2022 0:00,5/29/2022 0:00,meats,16.73
"Wilson, Jill","Hoffman, Tina",jill.wilson@abcfoodmart.com,12/6/2022,ABC Foodmart - DUMBO,1/26/2023 0:00,1/26/2023 0:00,deli,15.79
"Martin, Monica","Flores, Angela",monica.martin@abcfoodmart.com,11/23/2023,ABC Foodmart - Whitestone,12/25/2023 0:00,12/25/2023 0:00,fresh produce,19.51
"Henderson, Nancy","Cooper, Robert",nancy.henderson@abcfoodmart.com,12/30/2023,ABC Foodmart - Bay Ridge,1/26/2024 0:00,1/26/2024 0:00,floral,12.41
"Conrad, Frederick","Ellis, Grant",frederick.conrad@abcfoodmart.com,11/24/2023,ABC Foodmart - Tribeca,12/13/2023 0:00,12/13/2023 0:00,deli,19.29
"Jacobs, Brenda","Farrell, Christopher",brenda.jacobs@abcfoodmart.com,2/9/2024,ABC Foodmart - Staten Island,3/29/2024 0:00,3/29/2024 0:00,dry goods,13.25
"Chen, Kathleen","Cooper, Robert",kathleen.chen@abcfoodmart.com,2/3/2024,ABC Foodmart - Bay Ridge,2/10/2024 0:00,2/10/2024 0:00,bakery,15.66
"Dodson, Courtney","Farrell, Christopher",courtney.dodson@abcfoodmart.com,1/10/2023,ABC Foodmart - Staten Island,1/12/2023 0:00,1/12/2023 0:00,floral,18.41
"Martin, Monica","Farrell, Christopher",monica.martin@abcfoodmart.com,11/23/2023,ABC Foodmart - Staten Island,1/6/2024 0:00,1/6/2024 0:00,deli,20
"Glover, Michelle","Hoffman, Tina",michelle.glover@abcfoodmart.com,8/25/2022,ABC Foodmart - DUMBO,10/4/2022 0:00,10/4/2022 0:00,deli,14.94
"Atkinson, Gary","Hoffman, Tina",gary.atkinson@abcfoodmart.com,5/24/2022,ABC Foodmart - DUMBO,5/28/2022 0:00,5/28/2022 0:00,meats,15.92
"Blanchard, Ricky","Flores, Angela",ricky.blanchard@abcfoodmart.com,5/23/2023,ABC Foodmart - Whitestone,6/2/2023 0:00,6/2/2023 0:00,bakery,19.92
"Wood, Joshua","Cooper, Robert",joshua.wood@abcfoodmart.com,11/26/2022,ABC Foodmart - Bay Ridge,11/28/2022 0:00,11/28/2022 0:00,cashier,18.25
"Marquez, Jeffrey","Ellis, Grant",jeffrey.marquez@abcfoodmart.com,2/19/2023,ABC Foodmart - Tribeca,3/18/2023 0:00,3/18/2023 0:00,pharmacy,13.24
"Nguyen, Richard","Ellis, Grant",richard.nguyen@abcfoodmart.com,9/27/2022,ABC Foodmart - Tribeca,10/15/2022 0:00,10/15/2022 0:00,dry goods,12.39
"Martin, Monica","Flores, Angela",monica.martin@abcfoodmart.com,11/23/2023,ABC Foodmart - Whitestone,1/17/2024 0:00,1/17/2024 0:00,customer service,13.2
"Gardner, Laura","Cooper, Robert",laura.gardner@abcfoodmart.com,9/4/2023,ABC Foodmart - Bay Ridge,9/23/2023 0:00,9/23/2023 0:00,seafood,13.26
"Carroll, Eric","Hoffman, Tina",eric.carroll@abcfoodmart.com,12/26/2022,ABC Foodmart - DUMBO,1/7/2023 0:00,1/7/2023 0:00,dairy,14.88
"Burns, Kendra","Ellis, Grant",kendra.burns@abcfoodmart.com,12/13/2022,ABC Foodmart - Tribeca,2/6/2023 0:00,2/6/2023 0:00,bakery,16.09
"Riley, Ashley","Cooper, Robert",ashley.riley@abcfoodmart.com,8/17/2022,ABC Foodmart - Bay Ridge,10/12/2022 0:00,10/12/2022 0:00,dry goods,12.85
"Jessica, Ms.","Farrell, Christopher",ms..jessica@abcfoodmart.com,6/10/2022,ABC Foodmart - Staten Island,6/25/2022 0:00,6/25/2022 0:00,seafood,17.9
"Walls, Kristen","Farrell, Christopher",kristen.walls@abcfoodmart.com,2/10/2023,ABC Foodmart - Staten Island,3/14/2023 0:00,3/14/2023 0:00,bakery,12.57
"Jackson, Michael","Ellis, Grant",michael.jackson@abcfoodmart.com,10/31/2022,ABC Foodmart - Tribeca,11/29/2022 0:00,11/29/2022 0:00,meats,14.06
"Durham, Denise","Hoffman, Tina",denise.durham@abcfoodmart.com,10/24/2022,ABC Foodmart - DUMBO,11/22/2022 0:00,11/22/2022 0:00,floral,17.81
"Love, Thomas","Hoffman, Tina",thomas.love@abcfoodmart.com,2/18/2024,ABC Foodmart - DUMBO,3/6/2024 0:00,3/6/2024 0:00,floral,19.5
"Brown, Lisa","Farrell, Christopher",lisa.brown@abcfoodmart.com,8/18/2022,ABC Foodmart - Staten Island,8/30/2022 0:00,8/30/2022 0:00,dry goods,19.1
"Hughes, Christopher","Farrell, Christopher",christopher.hughes@abcfoodmart.com,9/1/2022,ABC Foodmart - Staten Island,9/11/2022 0:00,9/11/2022 0:00,seafood,14.11
"Bradley, Rita","Hoffman, Tina",rita.bradley@abcfoodmart.com,8/6/2023,ABC Foodmart - DUMBO,9/4/2023 0:00,9/4/2023 0:00,deli,14.27
"Riley, Ashley","Hoffman, Tina",ashley.riley@abcfoodmart.com,8/17/2022,ABC Foodmart - DUMBO,11/2/2022 0:00,11/2/2022 0:00,bakery,16.31
"Eric, Mr.","Cooper, Robert",mr..eric@abcfoodmart.com,9/2/2022,ABC Foodmart - Bay Ridge,10/12/2022 0:00,10/12/2022 0:00,seafood,13.12
"Terri, Mrs.","Cooper, Robert",mrs..terri@abcfoodmart.com,9/23/2022,ABC Foodmart - Bay Ridge,11/11/2022 0:00,11/11/2022 0:00,customer service,14.51
"Horton, Ashley","Cooper, Robert",ashley.horton@abcfoodmart.com,1/24/2024,ABC Foodmart - Bay Ridge,2/15/2024 0:00,2/15/2024 0:00,deli,16.73
"Ellis, Lauren","Hoffman, Tina",lauren.ellis@abcfoodmart.com,10/22/2022,ABC Foodmart - DUMBO,12/19/2022 0:00,12/19/2022 0:00,pharmacy,18.52
"Foster, Jennifer","Farrell, Christopher",jennifer.foster@abcfoodmart.com,6/15/2023,ABC Foodmart - Staten Island,8/2/2023 0:00,8/2/2023 0:00,customer service,14.99
"Bryan, Mr.","Ellis, Grant",mr..bryan@abcfoodmart.com,8/26/2023,ABC Foodmart - Tribeca,9/20/2023 0:00,9/20/2023 0:00,customer service,14.11
"Campbell, Brittany","Ellis, Grant",brittany.campbell@abcfoodmart.com,3/25/2023,ABC Foodmart - Tribeca,6/5/2023 0:00,6/5/2023 0:00,frozen foods,17.1
"Martin, Monica","Farrell, Christopher",monica.martin@abcfoodmart.com,11/23/2023,ABC Foodmart - Staten Island,1/26/2024 0:00,1/26/2024 0:00,bakery,18.03
"Sean, Mr.","Farrell, Christopher",mr..sean@abcfoodmart.com,3/25/2023,ABC Foodmart - Staten Island,4/24/2023 0:00,4/24/2023 0:00,pharmacy,14.14
"Jones, Christopher","Hoffman, Tina",christopher.jones@abcfoodmart.com,5/19/2022,ABC Foodmart - DUMBO,7/10/2022 0:00,7/10/2022 0:00,deli,19.8
"Love, Thomas","Hoffman, Tina",thomas.love@abcfoodmart.com,2/18/2024,ABC Foodmart - DUMBO,3/30/2024 0:00,3/30/2024 0:00,cashier,17.7
"Alvarez, Brenda","Ellis, Grant",brenda.alvarez@abcfoodmart.com,11/16/2023,ABC Foodmart - Tribeca,12/3/2023 0:00,12/3/2023 0:00,dairy,18.64
"Chen, Kathleen","Cooper, Robert",kathleen.chen@abcfoodmart.com,2/3/2024,ABC Foodmart - Bay Ridge,2/15/2024 0:00,2/15/2024 0:00,seafood,17.16
"Dodson, Courtney","Hoffman, Tina",courtney.dodson@abcfoodmart.com,1/10/2023,ABC Foodmart - DUMBO,2/10/2023 0:00,2/10/2023 0:00,bakery,12.83
"Johnson, Samantha","Ellis, Grant",samantha.johnson@abcfoodmart.com,1/16/2023,ABC Foodmart - Tribeca,2/9/2023 0:00,2/9/2023 0:00,floral,19.57
"Walls, Kristen","Farrell, Christopher",kristen.walls@abcfoodmart.com,2/10/2023,ABC Foodmart - Staten Island,3/28/2023 0:00,3/28/2023 0:00,deli,14.84
"Terri, Mrs.","Farrell, Christopher",mrs..terri@abcfoodmart.com,9/23/2022,ABC Foodmart - Staten Island,12/7/2022 0:00,12/7/2022 0:00,frozen foods,15.05
"Payne, Samantha","Cooper, Robert",samantha.payne@abcfoodmart.com,4/6/2024,ABC Foodmart - Bay Ridge,4/11/2024 0:00,4/11/2024 0:00,frozen foods,14.38
"Waters, Julie","Ellis, Grant",julie.waters@abcfoodmart.com,5/20/2023,ABC Foodmart - Tribeca,5/31/2023 0:00,5/31/2023 0:00,deli,17.42
"Dodson, Courtney","Cooper, Robert",courtney.dodson@abcfoodmart.com,1/10/2023,ABC Foodmart - Bay Ridge,3/4/2023 0:00,3/4/2023 0:00,cashier,15.93
"Jessica, Ms.","Cooper, Robert",ms..jessica@abcfoodmart.com,6/10/2022,ABC Foodmart - Bay Ridge,7/3/2022 0:00,7/3/2022 0:00,cashier,16.12
